dteday,yr,hr,cnt
2011-01-10,0,2,3
2011-01-10,0,3,1
2011-01-10,0,4,3
2011-01-10,0,5,3
2011-01-10,0,6,31
2011-01-10,0,7,77
2011-01-10,0,8,188
2011-01-10,0,9,94
2011-01-10,0,10,31
2011-01-10,0,11,30
2011-01-10,0,12,52
2011-01-10,0,13,54
2011-01-10,0,14,47
2011-01-10,0,15,45
2011-01-10,0,16,74
2011-01-10,0,17,178
2011-01-10,0,18,155
2011-01-10,0,19,95
2011-01-10,0,20,74
2011-01-10,0,21,38
2011-01-10,0,22,24
2011-01-10,0,23,18
2011-01-11,0,0,12
2011-01-11,0,1,3
2011-01-11,0,2,3
2011-01-11,0,5,6
2011-01-11,0,6,27
2011-01-11,0,7,99
2011-01-11,0,8,217
2011-01-11,0,9,130
2011-01-11,0,10,54
2011-01-11,0,11,35
2011-01-11,0,12,57
2011-01-11,0,13,52
2011-01-11,0,14,63
2011-01-11,0,15,47
2011-01-11,0,16,76
2011-01-11,0,17,136
2011-01-11,0,18,95
2011-01-11,0,19,51
2011-01-11,0,20,32
2011-01-11,0,21,20
2011-01-11,0,22,29
2011-01-11,0,23,19
2011-01-12,0,0,7
2011-01-12,0,1,6
2011-01-12,0,2,1
2011-01-12,0,5,5
2011-01-12,0,6,16
2011-01-12,0,7,54
2011-01-12,0,8,128
2011-01-12,0,9,81
2011-01-12,0,10,39
2011-01-12,0,11,35
2011-01-12,0,12,55
2011-01-12,0,13,49
2011-01-12,0,14,44
2011-01-12,0,15,49
2011-01-12,0,16,68
2011-01-12,0,17,139
2011-01-12,0,18,137
2011-01-12,0,19,83
2011-01-12,0,20,56
2011-01-12,0,21,57
2011-01-12,0,22,33
2011-01-12,0,23,20
2011-01-13,0,0,7
2011-01-13,0,1,2
2011-01-13,0,2,2
2011-01-13,0,3,3
2011-01-13,0,4,4
2011-01-13,0,5,3
2011-01-13,0,6,28
2011-01-13,0,7,72
2011-01-13,0,8,202
2011-01-13,0,9,139
2011-01-13,0,10,38
2011-01-13,0,11,37
2011-01-13,0,12,52
2011-01-13,0,13,83
2011-01-13,0,14,42
2011-01-13,0,15,60
2011-01-13,0,16,78
2011-01-13,0,17,162
2011-01-13,0,18,144
2011-01-13,0,19,99
2011-01-13,0,20,64
2011-01-13,0,21,40
2011-01-13,0,22,30
2011-01-13,0,23,15
2011-01-14,0,0,14
2011-01-14,0,1,5
2011-01-14,0,2,1
2011-01-14,0,3,1
2011-01-14,0,5,8
2011-01-14,0,6,17
2011-01-14,0,7,70
2011-01-14,0,8,158
2011-01-14,0,9,117
2011-01-14,0,10,44
2011-01-14,0,11,53
2011-01-14,0,12,61
2011-01-14,0,13,77
2011-01-14,0,14,64
2011-01-14,0,15,68
2011-01-14,0,16,90
2011-01-14,0,17,159
2011-01-14,0,18,139
2011-01-14,0,19,92
2011-01-14,0,20,68
2011-01-14,0,21,52
2011-01-14,0,22,36
2011-01-14,0,23,27
2011-01-15,0,0,28
2011-01-15,0,1,20
2011-01-15,0,2,12
2011-01-15,0,3,8
2011-01-15,0,4,5
2011-01-15,0,5,1
2011-01-15,0,6,3
2011-01-15,0,7,10
2011-01-15,0,8,23
2011-01-15,0,9,33
2011-01-15,0,10,59
2011-01-15,0,11,72
2011-01-15,0,12,89
2011-01-15,0,13,101
2011-01-15,0,14,118
2011-01-15,0,15,129
2011-01-15,0,16,128
2011-01-15,0,17,83
2011-01-15,0,18,84
2011-01-15,0,19,74
2011-01-15,0,20,41
2011-01-15,0,21,57
2011-01-15,0,22,26
2011-01-15,0,23,44
2011-01-16,0,0,39
2011-01-16,0,1,23
2011-01-16,0,2,16
2011-01-16,0,3,15
2011-01-16,0,4,1
2011-01-16,0,5,2
2011-01-16,0,6,1
2011-01-16,0,7,3
2011-01-16,0,8,18
2011-01-16,0,9,32
2011-01-16,0,10,79
2011-01-16,0,11,93
2011-01-16,0,12,104
2011-01-16,0,13,118
2011-01-16,0,14,91
2011-01-16,0,15,113
2011-01-16,0,16,99
2011-01-16,0,17,105
2011-01-16,0,18,67
2011-01-16,0,19,61
2011-01-16,0,20,57
2011-01-16,0,21,28
2011-01-16,0,22,21
2011-01-16,0,23,18
2011-01-17,0,0,17
2011-01-17,0,1,16
2011-01-17,0,2,8
2011-01-17,0,3,2
2011-01-17,0,4,3
2011-01-17,0,5,1
2011-01-17,0,6,5
2011-01-17,0,7,13
2011-01-17,0,8,33
2011-01-17,0,9,47
2011-01-17,0,10,57
2011-01-17,0,11,64
2011-01-17,0,12,80
2011-01-17,0,13,93
2011-01-17,0,14,86
2011-01-17,0,15,93
2011-01-17,0,16,82
2011-01-17,0,17,71
2011-01-17,0,18,92
2011-01-17,0,19,60
2011-01-17,0,20,33
2011-01-17,0,21,27
2011-01-17,0,22,13
2011-01-17,0,23,4
2011-01-18,0,12,3
2011-01-18,0,13,22
2011-01-18,0,14,28
2011-01-18,0,15,35
2011-01-18,0,16,61
2011-01-18,0,17,125
2011-01-18,0,18,133
2011-01-18,0,19,99
2011-01-18,0,20,83
2011-01-18,0,21,41
2011-01-18,0,22,33
2011-01-18,0,23,20
2011-01-19,0,0,3
2011-01-19,0,1,7
2011-01-19,0,2,3
2011-01-19,0,4,2
2011-01-19,0,5,7
2011-01-19,0,6,32
2011-01-19,0,7,90
2011-01-19,0,8,197
2011-01-19,0,9,109
2011-01-19,0,10,47
2011-01-19,0,11,52
2011-01-19,0,12,70
2011-01-19,0,13,78
2011-01-19,0,14,75
2011-01-19,0,15,82
2011-01-19,0,16,104
2011-01-19,0,17,197
2011-01-19,0,18,161
2011-01-19,0,19,112
2011-01-19,0,20,76
2011-01-19,0,21,59
2011-01-19,0,22,59
2011-01-19,0,23,28
2011-01-20,0,0,13
2011-01-20,0,1,5
2011-01-20,0,2,2
2011-01-20,0,3,1
2011-01-20,0,4,1
2011-01-20,0,5,6
2011-01-20,0,6,35
2011-01-20,0,7,101
2011-01-20,0,8,249
2011-01-20,0,9,143
2011-01-20,0,10,57
2011-01-20,0,11,68
2011-01-20,0,12,84
2011-01-20,0,13,98
2011-01-20,0,14,81
2011-01-20,0,15,70
2011-01-20,0,16,91
2011-01-20,0,17,215
2011-01-20,0,18,185
2011-01-20,0,19,152
2011-01-20,0,20,126
2011-01-20,0,21,57
2011-01-20,0,22,56
2011-01-20,0,23,31
2011-01-21,0,0,21
2011-01-21,0,1,6
2011-01-21,0,2,2
2011-01-21,0,3,1
2011-01-21,0,4,1
2011-01-21,0,5,5
2011-01-21,0,6,27
2011-01-21,0,7,68
2011-01-21,0,8,217
2011-01-21,0,9,166
2011-01-21,0,10,63
2011-01-21,0,11,59
2011-01-21,0,12,78
2011-01-21,0,13,73
2011-01-21,0,14,62
2011-01-21,0,15,65
2011-01-21,0,16,97
2011-01-21,0,17,161
2011-01-21,0,18,120
2011-01-21,0,19,96
2011-01-21,0,20,53
2011-01-21,0,21,41
2011-01-21,0,22,34
2011-01-21,0,23,27
2011-01-22,0,0,13
2011-01-22,0,1,12
2011-01-22,0,2,11
2011-01-22,0,3,7
2011-01-22,0,4,3
2011-01-22,0,6,2
2011-01-22,0,7,8
2011-01-22,0,8,27
2011-01-22,0,9,40
2011-01-22,0,10,53
2011-01-22,0,11,63
2011-01-22,0,12,70
2011-01-22,0,13,84
2011-01-22,0,14,75
2011-01-22,0,15,103
2011-01-22,0,16,83
2011-01-22,0,17,67
2011-01-22,0,18,54
2011-01-22,0,19,59
2011-01-22,0,20,45
2011-01-22,0,21,39
2011-01-22,0,22,30
2011-01-22,0,23,33
2011-01-23,0,0,22
2011-01-23,0,1,13
2011-01-23,0,2,18
2011-01-23,0,3,5
2011-01-23,0,5,3
2011-01-23,0,6,1
2011-01-23,0,7,2
2011-01-23,0,8,19
2011-01-23,0,9,28
2011-01-23,0,10,58
2011-01-23,0,11,99
2011-01-23,0,12,116
2011-01-23,0,13,87
2011-01-23,0,14,110
2011-01-23,0,15,77
2011-01-23,0,16,65
2011-01-23,0,17,55
2011-01-23,0,18,49
2011-01-23,0,19,50
2011-01-23,0,20,35
2011-01-23,0,21,25
2011-01-23,0,22,28
2011-01-23,0,23,21
2011-01-24,0,0,7
2011-01-24,0,1,1
2011-01-24,0,3,1
2011-01-24,0,4,1
2011-01-24,0,5,5
2011-01-24,0,6,15
2011-01-24,0,7,84
2011-01-24,0,8,177
2011-01-24,0,9,102
2011-01-24,0,10,40
2011-01-24,0,11,46
2011-01-24,0,12,63
2011-01-24,0,13,60
2011-01-24,0,14,45
2011-01-24,0,15,57
2011-01-24,0,16,70
2011-01-24,0,17,184
2011-01-24,0,18,153
2011-01-24,0,19,106
2011-01-24,0,20,81
2011-01-24,0,21,59
2011-01-24,0,22,35
2011-01-24,0,23,24
2011-01-25,0,0,9
2011-01-25,0,1,5
2011-01-25,0,2,2
2011-01-25,0,4,1
2011-01-25,0,5,9
2011-01-25,0,6,36
2011-01-25,0,7,108
2011-01-25,0,8,238
2011-01-25,0,9,144
2011-01-25,0,10,55
2011-01-25,0,11,61
2011-01-25,0,12,106
2011-01-25,0,13,93
2011-01-25,0,14,68
2011-01-25,0,15,84
2011-01-25,0,16,116
2011-01-25,0,17,222
2011-01-25,0,18,225
2011-01-25,0,19,146
2011-01-25,0,20,119
2011-01-25,0,21,45
2011-01-25,0,22,53
2011-01-25,0,23,40
2011-01-26,0,0,17
2011-01-26,0,1,5
2011-01-26,0,2,10
2011-01-26,0,5,1
2011-01-26,0,6,8
2011-01-26,0,7,30
2011-01-26,0,8,72
2011-01-26,0,9,58
2011-01-26,0,10,28
2011-01-26,0,11,41
2011-01-26,0,12,48
2011-01-26,0,13,47
2011-01-26,0,14,36
2011-01-26,0,15,43
2011-01-26,0,16,36
2011-01-26,0,17,26
2011-01-27,0,16,24
2011-01-27,0,17,84
2011-01-27,0,18,104
2011-01-27,0,19,79
2011-01-27,0,20,59
2011-01-27,0,21,38
2011-01-27,0,22,27
2011-01-27,0,23,16
2011-01-28,0,0,9
2011-01-28,0,1,3
2011-01-28,0,2,2
2011-01-28,0,3,1
2011-01-28,0,5,4
2011-01-28,0,6,16
2011-01-28,0,7,60
2011-01-28,0,8,157
2011-01-28,0,9,101
2011-01-28,0,10,49
2011-01-28,0,11,30
2011-01-28,0,12,29
2011-01-28,0,13,31
2011-01-28,0,14,38
2011-01-28,0,15,41
2011-01-28,0,16,80
2011-01-28,0,17,149
2011-01-28,0,18,109
2011-01-28,0,19,89
2011-01-28,0,20,62
2011-01-28,0,21,58
2011-01-28,0,22,26
2011-01-28,0,23,23
2011-01-29,0,0,28
2011-01-29,0,1,20
2011-01-29,0,2,15
2011-01-29,0,3,8
2011-01-29,0,4,3
2011-01-29,0,6,2
2011-01-29,0,7,5
2011-01-29,0,8,34
2011-01-29,0,9,34
2011-01-29,0,10,55
2011-01-29,0,11,64
2011-01-29,0,12,78
2011-01-29,0,13,65
2011-01-29,0,14,99
2011-01-29,0,15,120
2011-01-29,0,16,107
2011-01-29,0,17,91
2011-01-29,0,18,68
2011-01-29,0,19,58
2011-01-29,0,20,43
2011-01-29,0,21,36
2011-01-29,0,22,32
2011-01-29,0,23,33
2011-01-30,0,0,33
2011-01-30,0,1,29
2011-01-30,0,2,11
2011-01-30,0,3,8
2011-01-30,0,4,1
2011-01-30,0,5,3
2011-01-30,0,7,3
2011-01-30,0,8,12
2011-01-30,0,9,38
2011-01-30,0,10,64
2011-01-30,0,11,59
2011-01-30,0,12,97
2011-01-30,0,13,84
2011-01-30,0,14,122
2011-01-30,0,15,109
2011-01-30,0,16,123
2011-01-30,0,17,77
2011-01-30,0,18,65
2011-01-30,0,19,55
2011-01-30,0,20,33
2011-01-30,0,21,28
2011-01-30,0,22,21
2011-01-30,0,23,21
2011-01-31,0,0,7
2011-01-31,0,1,7
2011-01-31,0,2,1
2011-01-31,0,3,2
2011-01-31,0,4,2
2011-01-31,0,5,8
2011-01-31,0,6,37
2011-01-31,0,7,72
2011-01-31,0,8,185
2011-01-31,0,9,112
2011-01-31,0,10,69
2011-01-31,0,11,48
2011-01-31,0,12,68
2011-01-31,0,13,54
2011-01-31,0,14,86
2011-01-31,0,15,44
2011-01-31,0,16,86
2011-01-31,0,17,161
2011-01-31,0,18,156
2011-01-31,0,19,111
2011-01-31,0,20,78
2011-01-31,0,21,56
2011-01-31,0,22,34
2011-01-31,0,23,17
2011-02-01,0,0,8
2011-02-01,0,1,3
2011-02-01,0,2,2
2011-02-01,0,3,2
2011-02-01,0,5,3
2011-02-01,0,6,22
2011-02-01,0,7,52
2011-02-01,0,8,135
2011-02-01,0,9,116
2011-02-01,0,10,47
2011-02-01,0,11,51
2011-02-01,0,12,55
2011-02-01,0,13,52
2011-02-01,0,14,54
2011-02-01,0,15,52
2011-02-01,0,16,64
2011-02-01,0,17,176
2011-02-01,0,18,168
2011-02-01,0,19,108
2011-02-01,0,20,74
2011-02-01,0,21,64
2011-02-01,0,22,36
2011-02-01,0,23,16
2011-02-02,0,0,2
2011-02-02,0,1,3
2011-02-02,0,2,4
2011-02-02,0,3,1
2011-02-02,0,4,1
2011-02-02,0,5,3
2011-02-02,0,6,18
2011-02-02,0,7,49
2011-02-02,0,8,155
2011-02-02,0,9,123
2011-02-02,0,10,61
2011-02-02,0,11,52
2011-02-02,0,12,64
2011-02-02,0,13,75
2011-02-02,0,14,63
2011-02-02,0,15,76
2011-02-02,0,16,103
2011-02-02,0,17,190
2011-02-02,0,18,182
2011-02-02,0,19,91
2011-02-02,0,20,75
2011-02-02,0,21,63
2011-02-02,0,22,40
2011-02-02,0,23,32
2011-02-03,0,0,12
2011-02-03,0,1,5
2011-02-03,0,2,2
2011-02-03,0,3,1
2011-02-03,0,5,2
2011-02-03,0,6,39
2011-02-03,0,7,87
2011-02-03,0,8,188
2011-02-03,0,9,133
2011-02-03,0,10,52
2011-02-03,0,11,64
2011-02-03,0,12,69
2011-02-03,0,13,51
2011-02-03,0,14,47
2011-02-03,0,15,60
2011-02-03,0,16,78
2011-02-03,0,17,175
2011-02-03,0,18,147
2011-02-03,0,19,96
2011-02-03,0,20,109
2011-02-03,0,21,54
2011-02-03,0,22,41
2011-02-03,0,23,38
2011-02-04,0,0,13
2011-02-04,0,1,7
2011-02-04,0,2,1
2011-02-04,0,3,1
2011-02-04,0,5,7
2011-02-04,0,6,28
2011-02-04,0,7,87
2011-02-04,0,8,220
2011-02-04,0,9,127
2011-02-04,0,10,51
2011-02-04,0,11,64
2011-02-04,0,12,86
2011-02-04,0,13,82
2011-02-04,0,14,91
2011-02-04,0,15,90
2011-02-04,0,16,99
2011-02-04,0,17,205
2011-02-04,0,18,155
2011-02-04,0,19,103
2011-02-04,0,20,71
2011-02-04,0,21,43
2011-02-04,0,22,46
2011-02-04,0,23,31
2011-02-05,0,0,39
2011-02-05,0,1,18
2011-02-05,0,2,17
2011-02-05,0,3,11
2011-02-05,0,4,8
2011-02-05,0,5,9
2011-02-05,0,6,4
2011-02-05,0,7,4
2011-02-05,0,8,10
2011-02-05,0,9,20
2011-02-05,0,10,34
2011-02-05,0,11,47
2011-02-05,0,12,52
2011-02-05,0,13,72
2011-02-05,0,14,55
2011-02-05,0,15,60
2011-02-05,0,16,71
2011-02-05,0,17,78
2011-02-05,0,18,83
2011-02-05,0,19,84
2011-02-05,0,20,69
2011-02-05,0,21,56
2011-02-05,0,22,45
2011-02-05,0,23,59
2011-02-06,0,0,39
2011-02-06,0,1,44
2011-02-06,0,2,20
2011-02-06,0,3,13
2011-02-06,0,4,2
2011-02-06,0,5,1
2011-02-06,0,6,1
2011-02-06,0,7,8
2011-02-06,0,8,23
2011-02-06,0,9,45
2011-02-06,0,10,89
2011-02-06,0,11,117
2011-02-06,0,12,174
2011-02-06,0,13,182
2011-02-06,0,14,161
2011-02-06,0,15,182
2011-02-06,0,16,157
2011-02-06,0,17,121
2011-02-06,0,18,78
2011-02-06,0,19,21
2011-02-06,0,20,26
2011-02-06,0,21,27
2011-02-06,0,22,62
2011-02-06,0,23,30
2011-02-07,0,0,15
2011-02-07,0,1,5
2011-02-07,0,2,3
2011-02-07,0,3,1
2011-02-07,0,4,2
2011-02-07,0,5,10
2011-02-07,0,6,30
2011-02-07,0,7,95
2011-02-07,0,8,230
2011-02-07,0,9,118
2011-02-07,0,10,55
2011-02-07,0,11,47
2011-02-07,0,12,66
2011-02-07,0,13,64
2011-02-07,0,14,60
2011-02-07,0,15,50
2011-02-07,0,16,114
2011-02-07,0,17,216
2011-02-07,0,18,175
2011-02-07,0,19,128
2011-02-07,0,20,88
2011-02-07,0,21,78
2011-02-07,0,22,37
2011-02-07,0,23,25
2011-02-08,0,0,10
2011-02-08,0,1,4
2011-02-08,0,2,2
2011-02-08,0,3,1
2011-02-08,0,4,3
2011-02-08,0,5,2
2011-02-08,0,6,39
2011-02-08,0,7,100
2011-02-08,0,8,243
2011-02-08,0,9,135
2011-02-08,0,10,48
2011-02-08,0,11,50
2011-02-08,0,12,65
2011-02-08,0,13,50
2011-02-08,0,14,64
2011-02-08,0,15,51
2011-02-08,0,16,83
2011-02-08,0,17,176
2011-02-08,0,18,152
2011-02-08,0,19,101
2011-02-08,0,20,56
2011-02-08,0,21,54
2011-02-08,0,22,29
2011-02-08,0,23,12
2011-02-09,0,0,17
2011-02-09,0,1,7
2011-02-09,0,2,3
2011-02-09,0,3,2
2011-02-09,0,5,7
2011-02-09,0,6,43
2011-02-09,0,7,99
2011-02-09,0,8,199
2011-02-09,0,9,123
2011-02-09,0,10,59
2011-02-09,0,11,41
2011-02-09,0,12,61
2011-02-09,0,13,69
2011-02-09,0,14,58
2011-02-09,0,15,64
2011-02-09,0,16,79
2011-02-09,0,17,166
2011-02-09,0,18,170
2011-02-09,0,19,88
2011-02-09,0,20,84
2011-02-09,0,21,83
2011-02-09,0,22,46
2011-02-09,0,23,37
2011-02-10,0,0,16
2011-02-10,0,1,7
2011-02-10,0,2,3
2011-02-10,0,4,1
2011-02-10,0,5,6
2011-02-10,0,6,26
2011-02-10,0,7,99
2011-02-10,0,8,178
2011-02-10,0,9,122
2011-02-10,0,10,35
2011-02-10,0,11,45
2011-02-10,0,12,69
2011-02-10,0,13,62
2011-02-10,0,14,48
2011-02-10,0,15,50
2011-02-10,0,16,80
2011-02-10,0,17,165
2011-02-10,0,18,160
2011-02-10,0,19,112
2011-02-10,0,20,97
2011-02-10,0,21,72
2011-02-10,0,22,51
2011-02-10,0,23,34
2011-02-11,0,0,14
2011-02-11,0,1,7
2011-02-11,0,2,3
2011-02-11,0,5,4
2011-02-11,0,6,24
2011-02-11,0,7,74
2011-02-11,0,8,216
2011-02-11,0,9,140
2011-02-11,0,10,44
2011-02-11,0,11,64
2011-02-11,0,12,71
2011-02-11,0,13,110
2011-02-11,0,14,84
2011-02-11,0,15,74
2011-02-11,0,16,125
2011-02-11,0,17,211
2011-02-11,0,18,174
2011-02-11,0,19,101
2011-02-11,0,20,63
2011-02-11,0,21,47
2011-02-11,0,22,43
2011-02-11,0,23,53
2011-02-12,0,0,30
2011-02-12,0,1,24
2011-02-12,0,2,15
2011-02-12,0,3,10
2011-02-12,0,4,4
2011-02-12,0,5,1
2011-02-12,0,6,2
2011-02-12,0,7,11
2011-02-12,0,8,30
2011-02-12,0,9,43
2011-02-12,0,10,84
2011-02-12,0,11,114
2011-02-12,0,12,120
2011-02-12,0,13,135
2011-02-12,0,14,120
2011-02-12,0,15,174
2011-02-12,0,16,145
2011-02-12,0,17,137
2011-02-12,0,18,64
2011-02-12,0,19,41
2011-02-12,0,20,40
2011-02-12,0,21,51
2011-02-12,0,22,45
2011-02-12,0,23,32
2011-02-13,0,0,39
2011-02-13,0,1,24
2011-02-13,0,2,20
2011-02-13,0,3,12
2011-02-13,0,4,2
2011-02-13,0,6,5
2011-02-13,0,7,3
2011-02-13,0,8,12
2011-02-13,0,9,47
2011-02-13,0,10,105
2011-02-13,0,11,112
2011-02-13,0,12,152
2011-02-13,0,13,154
2011-02-13,0,14,161
2011-02-13,0,15,162
2011-02-13,0,16,134
2011-02-13,0,17,125
2011-02-13,0,18,95
2011-02-13,0,19,61
2011-02-13,0,20,47
2011-02-13,0,21,51
2011-02-13,0,22,36
2011-02-13,0,23,30
2011-02-14,0,0,11
2011-02-14,0,1,7
2011-02-14,0,2,2
2011-02-14,0,3,2
2011-02-14,0,4,2
2011-02-14,0,5,3
2011-02-14,0,6,26
2011-02-14,0,7,98
2011-02-14,0,8,256
2011-02-14,0,9,130
2011-02-14,0,10,55
2011-02-14,0,11,53
2011-02-14,0,12,126
2011-02-14,0,13,120
2011-02-14,0,14,90
2011-02-14,0,15,90
2011-02-14,0,16,118
2011-02-14,0,17,243
2011-02-14,0,18,205
2011-02-14,0,19,98
2011-02-14,0,20,70
2011-02-14,0,21,43
2011-02-14,0,22,45
2011-02-14,0,23,20
2011-02-15,0,0,19
2011-02-15,0,1,5
2011-02-15,0,2,3
2011-02-15,0,4,1
2011-02-15,0,5,4
2011-02-15,0,6,30
2011-02-15,0,7,105
2011-02-15,0,8,223
2011-02-15,0,9,110
2011-02-15,0,10,52
2011-02-15,0,11,57
2011-02-15,0,12,71
2011-02-15,0,13,82
2011-02-15,0,14,79
2011-02-15,0,15,85
2011-02-15,0,16,98
2011-02-15,0,17,206
2011-02-15,0,18,212
2011-02-15,0,19,145
2011-02-15,0,20,101
2011-02-15,0,21,66
2011-02-15,0,22,41
2011-02-15,0,23,20
2011-02-16,0,0,15
2011-02-16,0,1,9
2011-02-16,0,3,1
2011-02-16,0,4,1
2011-02-16,0,5,5
2011-02-16,0,6,33
2011-02-16,0,7,108
2011-02-16,0,8,230
2011-02-16,0,9,124
2011-02-16,0,10,69
2011-02-16,0,11,66
2011-02-16,0,12,86
2011-02-16,0,13,93
2011-02-16,0,14,82
2011-02-16,0,15,117
2011-02-16,0,16,122
2011-02-16,0,17,255
2011-02-16,0,18,222
2011-02-16,0,19,161
2011-02-16,0,20,118
2011-02-16,0,21,92
2011-02-16,0,22,73
2011-02-16,0,23,33
2011-02-17,0,0,17
2011-02-17,0,1,6
2011-02-17,0,2,6
2011-02-17,0,3,4
2011-02-17,0,4,4
2011-02-17,0,5,12
2011-02-17,0,6,47
2011-02-17,0,7,126
2011-02-17,0,8,285
2011-02-17,0,9,179
2011-02-17,0,10,88
2011-02-17,0,11,90
